Unnamed: 0,Job No.,Job Type,Owner,Delivery To,Delivery Address,Ref No.,Truck No.,Dispatched Date,ETD,External System,Delivery Note No.,BC No.,Reff. No.,Cycle,Time,Customer PO No.,Section Code,Date Created,Status
,LCO2507-1183,By Manual,PT. TORICA INDONESIA,SUMITOMO SHI_PT. SUMITOMO SHI CONSTRUCTION MACHINERY INDONESIA,SUMITOMO SHI,SCMI-280725,,,2025-07-28,,SCMI-280725,,SCMI-280725,,,,-,2025-07-25 11:12,Packed
,LCO2507-1185,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250728SA2,,,2025-07-28,,SA280725A,,250728SA2,,,,-,2025-07-25 11:26,Packed
,LCO2507-1187,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250730JG1,,,2025-07-28,,JG280725A,,250730JG1,,,,-,2025-07-25 13:05,Packed
,LCO2507-1189,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250730PD1,,,2025-07-28,,PD280725A,,250730PD1,,,,-,2025-07-25 13:08,Packed
,LCO2507-1190,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309201-1,,,2025-07-28,,1309201-1,2000,SUGITY SEQ 2 TGL 28/07/25 (FACT 1),FACT 1,2:00:00 PM,1309201-1,-,2025-07-25 13:16,Packed
,LCO2507-1191,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT ARTHA UTAMA PLASINDO,PT ARTHA UTAMA PLASINDO,01-213/AUP/07/25,,,2025-07-28,WEST+,0082167524,200,ARTHA UTAMA TGL 28/07/25 (PICK UP),PICK UP,,01-213/AUP/07/25,-,2025-07-25 13:34,Pending Pick
,LCO2507-1192,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT DENSO INDONESIA,PT DENSO INDONESIA,619A72,,,2025-07-28,WEST+,0082167535,1000,DENSO MR SEQ 1 TGL 28/07/25,MR SEQ 1,,619A72,-,2025-07-25 13:43,Packed
,LCO2507-1193,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,25073SG1,,,2025-07-28,,SG280725A,,25073SG1,,,,-,2025-07-25 13:44,Packed
,LCO2507-1194,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT DENSO INDONESIA,PT DENSO INDONESIA,619A72,,,2025-07-28,WEST+,0082167536,6,DENSO MR SEQ 1 TGL 28/07/25,MR SEQ 1,,619A72,-,2025-07-25 13:45,Packed
,LCO2507-1195,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT DENSO INDONESIA,PT DENSO INDONESIA,619A72,,,2025-07-28,WEST+,0082167537,1000,DENSO MR SEQ 1 TGL 28/07/25,MR SEQ 1,,619A72,-,2025-07-25 13:46,Packed
,LCO2507-1196,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT DENSO INDONESIA,PT DENSO INDONESIA,619A72,,,2025-07-28,WEST+,0082167538,1000,DENSO MR SEQ 1 TGL 28/07/25,MR SEQ 1,,619A72,-,2025-07-25 13:48,Packed
,LCO2507-1197,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250729SMD,,,2025-07-28,,SM280725A,,250729SMD,,,,-,2025-07-25 13:48,Packed
,LCO2507-1198,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT DENSO INDONESIA,PT DENSO INDONESIA,619A72,,,2025-07-28,WEST+,0082167539,1000,DENSO MR SEQ 2 TGL 28/07/25,MR SEQ 2,,619A72,-,2025-07-25 13:48,Packed
,LCO2507-1199,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250729SJD,,,2025-07-28,,SJ280725A,,250729SJD,,,,-,2025-07-25 13:51,Packed
,LCO2507-1200,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT. SUZUKI INDOMOBIL MOTOR,PT. SUZUKI INDOMOBIL MOTOR,84000803+150,,,2025-07-28,WEST+,0082167552,4000,SUZUKI TBN TGL 28/07/25 (ETA 10.00),-,10:00:00 AM,84000803+150,-,2025-07-25 14:19,Packed
,LCO2507-1201,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT. SUZUKI INDOMOBIL MOTOR,PT. SUZUKI INDOMOBIL MOTOR,84000803+151,,,2025-07-28,WEST+,0082167553,1000,SUZUKI TBN TGL 28/07/25 (ETA 10.00),-,10:00:00 AM,84000803+151,-,2025-07-25 14:20,Packed
,LCO2507-1202,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT NOK INDONESIA,PT NOK INDONESIA,S051011,,,2025-07-28,WEST+,0082167285,600,NOK TGL 28/7/25 ,,,S051011,-,2025-07-25 14:21,Packed
,LCO2507-1203,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT TORICA INDONESIA,PT TORICA INDONESIA,260400000084,,,2025-07-28,WEST+,0082167241,400,TORICA TGL 28/7/25  PICK UP ,PICK UP,,,-,2025-07-25 14:22,Pending Pick
,LCO2507-1204,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT DENSO MANUFACTURING INDONESIA,PT DENSO MANUFACTURING INDONESIA P2,619A43S,,,2025-07-28,WEST+,0082167519,1000,DMIA P2 TGL 28/7/25  ,,,,-,2025-07-25 14:22,Packed
,LCO2507-1206,By Manual,PT. ASTRA DAIHATSU MOTOR,PT. ASTRA DAIHATSU MOTOR,ADM SUNTER,TMMIN SUNTER Cycle 1 TGL 28 Juli 2025,,,2025-07-28,,280725-1,1,1,1,7:00:00 AM,TTLCADM280725-1,-,2025-07-25 14:31,Packed
,LCO2507-1207,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT AUTOPLASTIK INDONESIA,PT AUTOPLASTIK INDONESIA,TT00325072025000,,,2025-07-28,WEST+,0082167557,1000,AUTOPLASTIK KRW TGL 28/07/25 (WH NKI),WH NKI,9:00:00 AM,9010PO25001908,-,2025-07-25 14:37,Packed
,LCO2507-1208,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SHINTO KOGYO INDONESIA,PT SHINTO KOGYO INDONESIA,000030/MP5024/P1-PPM/07/2025,,,2025-07-28,WEST+,0082167564,2000,SHINTO - PLANT 1 TGL 28/07/25,PLANT 1,,000030/MP5024/P1-PPM/07/2025,-,2025-07-25 14:43,Packed
,LCO2507-1209,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT ECO TECH INDONESIA,PT ECO TECH INDONESIA,PP250725-181/TTI013,,,2025-07-28,WEST+,0082167580,200,ECO TECH TGL 28/07/25 (PICK UP),PICK UP,,PP250725-181/TTI013,-,2025-07-25 14:47,Pending Pick
,LCO2507-1210,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT NIFCO INDONESIA,PT NIFCO INDONESIA,MPO256-00012,,,2025-07-28,WEST+,0082167589,300,NIFCO KRW TGL 28/07/25,-,,MPO256-00012,-,2025-07-25 14:50,Packed
,LCO2507-1211,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT BONECOM TRICOM,PT BONECOM TRICOM,00067/BTI/VII/2025,,,2025-07-28,WEST+,0082167592,500,BONECOM TGL 28/07/25 (NO KANBAN),-,,00067/BTI/VII/2025,-,2025-07-25 14:56,Packed
,LCO2507-1212,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT BONECOM TRICOM,PT BONECOM TRICOM,2253/BTI/BTI-T-015/DN/VII/2025,,,2025-07-28,WEST+,0082167593,1800,BONECOM TGL 28/07/25,-,,2253/BTI/BTI-T-015/DN/VII/2025,-,2025-07-25 14:56,Packed
,LCO2507-1213,By Manual,PT. ASTRA DAIHATSU MOTOR,PT. ASTRA DAIHATSU MOTOR,ADM SUNTER,TMMIN SUNTER Cycle 2 TGL 28 Juli 2025,,,2025-07-28,,280725-2,2,2,2,7:00:00 AM,TTLCADM280725-2,-,2025-07-25 14:58,Packed
,LCO2507-1214,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT DHARMA POLIPLAST,PT DHARMA POLIPLAST,5215012151,,,2025-07-28,WEST+,0082167563,2500,DHARMA POLIPLAST TGL 28/07/25,-,,5215012151,-,2025-07-25 15:11,Packed
,LCO2507-1215,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT TOKAI TOYOTA AUTO BODY EXTRUSION,PT TOKAI TOYOTA AUTO BODY EXTRUSION,76258,,,2025-07-28,,76258,23901,TTEC TGL 28/7/25  ,,,,-,2025-07-25 15:18,Packed
,LCO2507-1217,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT TOKAI TOYOTA AUTO BODY EXTRUSION,PT TOKAI TOYOTA AUTO BODY EXTRUSION,76257,,,2025-07-28,,76257,2000,TTEC TGL 28/7/25 ,,,,-,2025-07-25 15:32,Packed
,LCO2507-1218,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT DENSO MANUFACTURING INDONESIA,PT DENSO MANUFACTURING INDONESIA P2,TTI-0068/IDP3/07/2025,,,2025-07-28,,TTI-0068/IDP3/07/2025,,DMIA P1 TGL 28/7/25  ,,,619A43S,-,2025-07-25 15:39,New
,LCO2507-1219,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT DENSO INDONESIA,DENSO FAJAR,619A72,,,2025-07-28,WEST+,0082167602,777,DENSO FAJAR TGL 28/07/25,-,,619A72,-,2025-07-25 15:55,Packed
,LCO2507-1224,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309202-1,,,2025-07-28,,1309202-1,3575,SUGITY SEQ 3 TGL 28/07/25 (FACT 1),FACT 1,10:00:00 AM,1309202-1,-,2025-07-25 16:17,Pending Pick
,LCO2507-1228,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309208-1,,,2025-07-28,,1309208-1,4000,SUGITY SEQ 1 TGL 28/07/25 (CBT),1,8:00:00 AM,1309208-1,-,2025-07-25 17:24,Packed
,LCO2507-1229,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309212-1,,,2025-07-28,,1309212-1,600,SUGITY SEQ 1 TGL 28/07/25 (CBT),1,8:00:00 AM,1309212-1,-,2025-07-25 17:32,Packed
,LCO2507-1230,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309209-1,,,2025-07-28,,1309209-1,2500,SUGITY SEQ 2 TGL 28/07/25 (CBT),2,10:00:00 AM,1309209-1,-,2025-07-25 17:38,Packed
,LCO2507-1231,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309213-1,,,2025-07-28,,1309213-1,1000,SUGITY SEQ 2 TGL 28/07/25 (CBT),2,10:30:00 AM,1309213-1,-,2025-07-25 17:42,Packed
,LCO2507-1232,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309210-1,,,2025-07-28,,1309210-1,3000,SUGITY SEQ 3 TGL 28/07/25 (CBT),3,9:00:00 AM,1309210-1,-,2025-07-25 17:50,Pending Pick
,LCO2507-1233,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309214-1,,,2025-07-28,,1309214-1,525,SUGITY SEQ 3 TGL 28/07/25 (CBT),3,9:00:00 PM,1309214-1,-,2025-07-25 17:55,Pending Pick
,LCO2507-1234,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT ICHIKOH INDONESIA,PT ICHIKOH INDONESIA,TT28072025,,,2025-07-28,,TT28072025,18,ICHIKOH TGL 28/7/25  ,,,,-,2025-07-25 17:56,Packed
,LCO2507-1235,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309211-1,,,2025-07-28,,1309211-1,2500,SUGITY SEQ 4 TGL 28/07/25 (CBT),4,11:50:00 PM,1309211-1,-,2025-07-25 18:00,Pending Pick
,LCO2507-1236,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309291-1,,,2025-07-28,,1309291-1,2000,SUGITY SEQ 1 TGL 28/07/25 (KRW),1,9:30:00 AM,1309291-1,-,2025-07-25 18:49,Packed
,LCO2507-1237,By Manual,PT. ASTRA DAIHATSU MOTOR,PT. ASTRA DAIHATSU MOTOR,ADM SUNTER,TMMIN SUNTER Cycle 3 TGL 28 Juli 2025,,,2025-07-28,,280725-3,3,3,3,10:30:00 AM,TTLCADM280725-3,-,2025-07-25 18:50,Pending Pick
,LCO2507-1238,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250729SA1,,,2025-07-28,,SA280725B,,250729SA1,,,,-,2025-07-25 18:52,Pending Pick
,LCO2507-1239,By Manual,PT. ASTRA DAIHATSU MOTOR,PT. ASTRA DAIHATSU MOTOR,ADM SUNTER,TMMIN SUNTER Cycle 4 TGL 28 Juli 2025,,,2025-07-28,,280725-4,4,4,4,10:30:00 AM,TTLCADM280725-4,-,2025-07-25 19:04,Pending Pick
,LCO2507-1240,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309677-1,,,2025-07-28,,1309677-1,600,SUGITY TGL 28/07/25 (PICK UP SMI),-,11:00:00 AM,1309677-1,-,2025-07-25 19:05,Pending Pick
,LCO2507-1241,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309674-1,,,2025-07-28,,1309674-1,700,SUGITY TGL 28/07/25 (PICK UP YPTI),-,3:00:00 PM,1309674-1,-,2025-07-25 19:10,Pending Pick
,LCO2507-1242,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309676-1,,,2025-07-28,,1309676-1,2000,SUGITY TGL 28/07/25 (KIRIM ADYAWINSA),-,3:00:00 PM,1309676-1,-,2025-07-25 19:18,Packed
,LCO2507-1243,By Manual,PT. TOKAI TOYOTA AUTO BODY EXTRUSION,T-TEC_PT. TOKAI TOYOTA AUTO BODY EXTRUSION,PT. TOKAI TOYOTA AUTO BODY EXTRUSION,TTEC/066/TTLC/VII/25,,,2025-07-28,,TTEC/066/TTLC/VII/25,141,TTEC COSINGNEE TGL 28/7/25  ,,,,-,2025-07-25 19:20,Pending Pick
,LCO2507-1244,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309653-1,,,2025-07-28,,1309653-1,2600,SUGITY TGL 28/07/25 (KIRIM HMG),-,4:00:00 PM,1309653-1,-,2025-07-25 19:27,Pending Pick
,LCO2507-1245,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309696-1,,,2025-07-28,,1309696-1,3075,SUGITY TGL 28/07/25 (KIRIM DAE IN TECH),-,1:40:00 PM,1309696-1,-,2025-07-25 19:37,Pending Pick
,LCO2507-1246,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309678-1,,,2025-07-25,,1309678-1,1850,SUGITY TGL 28/07/25 (KIRIM YASUNLI P1),-,9:40:00 AM,1309678-1,-,2025-07-25 19:54,Packed
,LCO2507-1247,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT RESIN PLATING TECHNOLOGY,PT RESIN PLATING TECHNOLOGY,74015,,,2025-07-28,,74015,2000,RPT SEQ 1 TGL 28/07/25,1,8:30:00 AM,74015,-,2025-07-25 20:02,Packed
,LCO2507-1248,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT RESIN PLATING TECHNOLOGY,PT RESIN PLATING TECHNOLOGY,74016,,,2025-07-28,,74016,500,RPT SEQ 1 TGL 28/07/25,-,8:30:00 AM,74016,-,2025-07-25 20:11,Packed
,LCO2507-1249,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT RESIN PLATING TECHNOLOGY,PT RESIN PLATING TECHNOLOGY,74025,,,2025-07-28,,74025,500,RPT SEQ 1 TGL 28/07/25,-,8:30:00 AM,74025,-,2025-07-25 20:14,Packed
,LCO2507-1250,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT RESIN PLATING TECHNOLOGY,PT RESIN PLATING TECHNOLOGY,74017,,,2025-07-28,,74017,1500,RPT SEQ 2 TGL 28/07/25,2,10:30:00 PM,74017,-,2025-07-25 20:18,Pending Pick
